country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Australia,AUS,2021-02-20,0,0,,0,0,0,0,,0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-02-21,20,20,,20,3,0,0,,0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-02-22,2879,2879,,2859,411,0.01,0.01,,16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-02-23,6908,6908,,4029,987,0.03,0.03,,38,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-02-24,17500,17500,,10592,2500,0.07,0.07,,97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-02-25,25000,25000,,7500,3571,0.1,0.1,,138,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-02-26,30000,30000,,5000,4286,0.12,0.12,,166,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-02-27,31894,31894,,1894,4556,0.12,0.12,,177,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-02-28,33702,33702,,1808,4812,0.13,0.13,,187,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-01,41907,41907,,8205,5575,0.16,0.16,,216,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
