location,date,vaccine,total_vaccinations
Austria,2021/1/8,Johnson&Johnson,0
Austria,2021/1/8,Moderna,0
Austria,2021/1/8,Oxford/AstraZeneca,0
Austria,2021/1/8,Pfizer/BioNTech,31131
Austria,2021/1/15,Johnson&Johnson,0
Austria,2021/1/15,Moderna,88
Austria,2021/1/15,Oxford/AstraZeneca,0
Austria,2021/1/15,Pfizer/BioNTech,115845
Austria,2021/1/22,Johnson&Johnson,0
Austria,2021/1/22,Moderna,305
Austria,2021/1/22,Oxford/AstraZeneca,0
Austria,2021/1/22,Pfizer/BioNTech,212956
Austria,2021/1/29,Johnson&Johnson,0
Austria,2021/1/29,Moderna,4224
Austria,2021/1/29,Oxford/AstraZeneca,1
Austria,2021/1/29,Pfizer/BioNTech,257687
Austria,2021/2/5,Johnson&Johnson,0
Austria,2021/2/5,Moderna,5920
Austria,2021/2/5,Oxford/AstraZeneca,3
Austria,2021/2/5,Pfizer/BioNTech,353219
Austria,2021/2/12,Johnson&Johnson,0
Austria,2021/2/12,Moderna,10008
Austria,2021/2/12,Oxford/AstraZeneca,10763
Austria,2021/2/12,Pfizer/BioNTech,454727
Austria,2021/2/19,Johnson&Johnson,0
Austria,2021/2/19,Moderna,14134
Austria,2021/2/19,Oxford/AstraZeneca,43473
Austria,2021/2/19,Pfizer/BioNTech,520302
Austria,2021/2/26,Johnson&Johnson,0
Austria,2021/2/26,Moderna,22497
Austria,2021/2/26,Oxford/AstraZeneca,101164
Austria,2021/2/26,Pfizer/BioNTech,581392
Austria,2021/3/5,Johnson&Johnson,0
Austria,2021/3/5,Moderna,31796
Austria,2021/3/5,Oxford/AstraZeneca,156006
Austria,2021/3/5,Pfizer/BioNTech,685805
Austria,2021/3/12,Johnson&Johnson,0
Austria,2021/3/12,Moderna,47134
Austria,2021/3/12,Oxford/AstraZeneca,234661
Austria,2021/3/12,Pfizer/BioNTech,848480
Austria,2021/3/19,Johnson&Johnson,18
Austria,2021/3/19,Moderna,78907
Austria,2021/3/19,Oxford/AstraZeneca,307884
Austria,2021/3/19,Pfizer/BioNTech,981008
Austria,2021/3/26,Johnson&Johnson,32
Austria,2021/3/26,Moderna,104259
Austria,2021/3/26,Oxford/AstraZeneca,383221
Austria,2021/3/26,Pfizer/BioNTech,1127404
Austria,2021/4/2,Johnson&Johnson,56
Austria,2021/4/2,Moderna,140591
Austria,2021/4/2,Oxford/AstraZeneca,421776
Austria,2021/4/2,Pfizer/BioNTech,1275522
Austria,2021/4/9,Johnson&Johnson,103
Austria,2021/4/9,Moderna,180092
Austria,2021/4/9,Oxford/AstraZeneca,512176
Austria,2021/4/9,Pfizer/BioNTech,1496780
Austria,2021/4/16,Johnson&Johnson,113
Austria,2021/4/16,Moderna,222580
Austria,2021/4/16,Oxford/AstraZeneca,608070
