Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,8,3133227,2,1.1
Albania,60,1723996,33,27
Algeria,33,14082920,14,9.4
Angola,10,3134137,6.7,3.2
Argentina,114,51448854,66,49
Armenia,14,408535,8.9,4.9
Aruba,147,156061,76,70
Australia,108,27441696,65,44
Austria,122,10831184,65,61
Azerbaijan,85,8485952,47,37
Bahamas,47,184461,29,18
Bahrain,157,2582168,71,68
Bangladesh,30,48225447,19,10
Barbados,82,236589,46,36
Belarus,36,3389520,20,16
Belgium,144,16586308,75,73
Belize,81,315807,49,32
Benin,2,174104,1.3,0.2
Bhutan,142,1081086,77,65
Bolivia,58,6651655,37,28
Bosnia and Herzegovina,32,1060145,19,13
Botswana,26,606699,16,9.8
Brazil,111,234674906,71,42
Brunei,109,474407,66,43
Bulgaria,36,2530744,16,19
Burkina Faso,1,254545,1.2,0.8
Cambodia,146,24090068,81,67
Cameroon,2,461201,1.5,0.3
Canada,149,56139861,78,72
Cape Verde,75,414300,52,24
Central African Republic,3,150393,3,0.2
Chad,1,142548,0.7,0.2
Chile,168,31887444,80,75
Colombia,79,39913294,52,33
Comoros,40,336863,21,19
Congo,0,134945,0.1,0.1
Costa Rica,105,5278407,65,40
Croatia,84,3428029,45,42
Cuba,181,20535957,81,44
Curaçao,119,187252,62,57
Cyprus,97,1161031,50,46
Czech Republic,111,11796578,57,56
Denmark,151,8773228,77,75
Djibouti,7,67229,4.2,2.7
Dominican Rep.,110,11859802,56,46
Ecuador,120,20773286,65,57
Egypt,16,16223309,10,5.7
El Salvador,117,7525604,63,53
Equatorial Guinea,28,381835,16,12
Estonia,103,1367709,57,46
Eswatini,21,240002,18,18
Ethiopia,3,3660632,2.5,0.7
Fiji,114,1017195,66,48
Finland,137,7556125,75,62
France,141,94573794,75,66
French Polynesia,104,290776,54,50
Gabon,8,177392,4.6,3.5
Gambia,9,207195,7.8,7.3
Georgia,48,1774769,26,21
Germany,129,107422982,68,64
Ghana,5,1623582,2.8,2.5
Greece,113,12112128,60,57
Grenada,50,55663,30,20
Guatemala,41,6834159,27,14
Guinea,14,1732598,9.3,4.3
Guinea-Bissau,5,94715,4.5,0.4
Guyana,69,543180,46,24
Haiti,1,61545,0.4,0.2
Honduras,53,5196072,33,20
Hong Kong,116,8646366,60,56
Hungary,95,9249943,60,58
Iceland,153,551110,78,76
India,64,879692465,47,17
Indonesia,52,140235980,33,19
Iran,63,51950783,44,19
Iraq,19,7608508,12,7.5
Ireland,146,7213100,76,74
Israel,166,15067533,67,62
Italy,140,84548509,75,68
Ivory Coast,8,1982168,4.6,1.1
Jamaica,26,755782,18,8.6
Japan,130,163738220,70,59
Jordan,69,6976290,37,32
Kazakhstan,76,14095115,41,35
Kenya,7,3712030,5.4,1.7
Kiribati,31,36332,25,5.9
Kosovo,71,1312912,43,28
Kuwait,56,2375455,63,22
Kyrgyzstan,22,1448417,13,9.6
