Countries and regions,Doses administered,Enough for % of people,Percentage of population with 1+ dose,Percentage of population fully vaccinated,Daily rate of doses administered
Global Total,5663213144,,,,33380378
Mainland China,2129833000,76.10,,69.30,6454714
India,730337116,26.70,40.30,12.40,7616167
EU,546967065,61.60,66.00,61.50,1394444
U.S.,378569717,59.20,62.90,53.60,721844
Brazil,205866758,50.00,66.90,33.20,1225902
Japan,141432726,56.00,62.10,50.00,1196360
Indonesia,111570821,20.90,26.30,15.10,1301072
Germany,103814560,62.50,66.40,61.90,196672
Turkey,101081488,60.80,61.60,48.10,661160
U.K.,92175948,69.00,72.40,65.60,123029
France,90583383,69.90,76.10,71.30,250680
Mexico,89500945,35.10,46.70,28.90,522165
Russia,85108008,29.00,30.70,26.70,349134
Italy,80413885,66.60,72.20,65.60,255070
Spain,68205694,73.40,79.90,75.40,202482
Pakistan,66456245,16.20,24.50,10.40,1010213
Canada,54228989,72.30,74.70,68.70,84646
South Korea,51555985,49.90,62.20,37.50,732527
Argentina,46402282,51.60,63.70,39.50,386567
Saudi Arabia,39119246,57.40,66.60,48.20,205841
Thailand,38873359,27.90,37.80,16.20,654403
Malaysia,38001646,58.30,64.70,51.20,308649
Philippines,37728114,17.60,20.50,15.00,454876
Colombia,36657856,36.40,48.40,29.90,157134
Poland,36643392,48.20,51.30,50.10,35988
Morocco,36003650,50.60,55.50,45.70,237764
Bangladesh,32751434,9.80,12.10,7.60,987566
Chile,29923619,78.30,75.70,72.60,94600
Iran,29152527,17.50,23.40,11.60,419055
Vietnam,23577917,12.20,20.50,3.90,551276
Sri Lanka,23476342,53.80,60.20,45.80,295775
Netherlands,23179631,67.30,69.80,62.90,173750
Australia,22170011,43.40,53.20,32.40,262933
Peru,20662297,31.20,35.50,26.30,228331
Cambodia,20312411,61.60,68.90,55.60,128008
Ecuador,20170825,58.40,63.10,54.90,66667
UAE,18801148,87.50,82.40,72.10,65989
Belgium,16352789,71.40,74.00,71.90,16525
Uzbekistan,15978140,24.00,29.40,8.70,182161
Cuba,15526511,68.50,55.60,36.80,171134
Portugal,15234083,74.10,85.60,78.20,58536
Ukraine,15026398,18.00,24.90,11.10,214774
South Africa,14367151,14.00,17.60,11.70,143260
Israel,14364617,79.40,66.70,61.20,44868
