City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,Date
ALBURY,SYDNEY,12/19,17971,460,70.9,452,8122892,11456844,25347,2019,12,2019/12/19
ADELAIDE,ALICE SPRINGS,12/19,9466,120,64.5,1316,12457256,19324144,14684,2019,12,2019/12/19
ADELAIDE,BRISBANE,12/19,78176,559,80.6,1622,126801472,157369684,97022,2019,12,2019/12/19
ADELAIDE,CANBERRA,12/19,16420,136,72.7,972,15960240,21939984,22572,2019,12,2019/12/19
ADELAIDE,MELBOURNE,12/19,207259,1544,81.7,643,133210817,162984156,253572,2019,12,2019/12/19
ADELAIDE,GOLD COAST,12/19,19485,127,85.8,1607,31312395,36499791,22713,2019,12,2019/12/19
ADELAIDE,PERTH,12/19,58254,452,83.6,2120,123498480,147800040,69717,2019,12,2019/12/19
ADELAIDE,PORT LINCOLN,12/19,15554,593,67.6,246,3826284,5663904,23024,2019,12,2019/12/19
ADELAIDE,SYDNEY,12/19,160997,1114,84.6,1167,187883499,222167625,190375,2019,12,2019/12/19
ARMIDALE,SYDNEY,12/19,9760,325,69.6,382,3728320,5357932,14026,2019,12,2019/12/19
ALICE SPRINGS,DARWIN,12/19,5874,103,59.6,1305,7665570,12864690,9858,2019,12,2019/12/19
ALICE SPRINGS,MELBOURNE,12/19,0,0,0,1860,0,0,0,2019,12,2019/12/19
ALICE SPRINGS,SYDNEY,12/19,0,0,0,2022,0,0,0,2019,12,2019/12/19
AYERS ROCK,SYDNEY,12/19,11134,114,54.9,2181,24283254,44206689,20269,2019,12,2019/12/19
BUNDABERG,BRISBANE,12/19,12727,291,70.4,287,3652649,5188673,18079,2019,12,2019/12/19
BROOME,PERTH,12/19,23000,292,67.2,1677,38571000,57391971,34223,2019,12,2019/12/19
BRISBANE,CANBERRA,12/19,56950,558,74.9,956,54444200,72711448,76058,2019,12,2019/12/19
BRISBANE,CAIRNS,12/19,110089,884,85.3,1391,153133799,179430654,128994,2019,12,2019/12/19
BRISBANE,DARWIN,12/19,28523,227,76.1,2852,81347596,106853032,37466,2019,12,2019/12/19
BRISBANE,EMERALD,12/19,15796,350,66.7,653,10314788,15457816,23672,2019,12,2019/12/19
BRISBANE,GLADSTONE,12/19,20343,397,67.8,434,8828862,13026076,30014,2019,12,2019/12/19
BRISBANE,HOBART,12/19,25414,171,83.5,1791,45516474,54494757,30427,2019,12,2019/12/19
BRISBANE,HAMILTON ISLAND,12/19,12021,124,75.3,888,10674648,14184912,15974,2019,12,2019/12/19
BRISBANE,MOUNT ISA,12/19,11305,131,73.8,1573,17782765,24090495,15315,2019,12,2019/12/19
BRISBANE,MELBOURNE,12/19,314850,2205,85.8,1381,434807850,506878097,367037,2019,12,2019/12/19
BRISBANE,MACKAY,12/19,67545,636,83.1,797,53833365,64784145,81285,2019,12,2019/12/19
BRISBANE,MORANBAH,12/19,0,0,0,780,0,0,0,2019,12,2019/12/19
BRISBANE,NEWCASTLE,12/19,51606,480,77.3,614,31686084,40967308,66722,2019,12,2019/12/19
BRISBANE,PERTH,12/19,88880,530,90.5,3615,321301200,355018305,98207,2019,12,2019/12/19
BRISBANE,PROSERPINE,12/19,23857,166,80.9,895,21352015,26388180,29484,2019,12,2019/12/19
BRISBANE,ROCKHAMPTON,12/19,44718,632,82.4,518,23163924,28099428,54246,2019,12,2019/12/19
BRISBANE,SYDNEY,12/19,408902,2878,86.7,753,307903206,355133625,471625,2019,12,2019/12/19
BRISBANE,TOWNSVILLE,12/19,87854,729,82.2,1112,97693648,118782728,106819,2019,12,2019/12/19
CANBERRA,MELBOURNE,12/19,92002,852,69,470,43240940,62693300,133390,2019,12,2019/12/19
CANBERRA,SYDNEY,12/19,68147,1178,76.1,236,16082692,21129552,89532,2019,12,2019/12/19
