City1,city1_longitude,city1_latitude,City2,city2_longitude,city2_latitude,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,Date
ALBURY,146.9095 ,-36.0751 ,SYDNEY,151.2093,-33.8688,12/19,17971,460,70.9,452,8122892,11456844,25347,2019,12,2019/12/19
ADELAIDE,138.6001 ,-34.9273 ,ALICE SPRINGS,133.87,-23.7,12/19,9466,120,64.5,1316,12457256,19324144,14684,2019,12,2019/12/19
ADELAIDE,138.6001 ,-34.9273 ,BRISBANE,153.026,-27.4705,12/19,78176,559,80.6,1622,126801472,157369684,97022,2019,12,2019/12/19
ADELAIDE,138.6001 ,-34.9273 ,CANBERRA,149.13,-35.2809,12/19,16420,136,72.7,972,15960240,21939984,22572,2019,12,2019/12/19
ADELAIDE,138.6001 ,-34.9273 ,MELBOURNE,144.9631,-37.8136,12/19,207259,1544,81.7,643,133210817,162984156,253572,2019,12,2019/12/19
ADELAIDE,138.6001 ,-34.9273 ,GOLD COAST,153.4,-28.0167,12/19,19485,127,85.8,1607,31312395,36499791,22713,2019,12,2019/12/19
ADELAIDE,138.6001 ,-34.9273 ,PERTH,115.8613,-31.9523,12/19,58254,452,83.6,2120,123498480,147800040,69717,2019,12,2019/12/19
ADELAIDE,138.6001 ,-34.9273 ,PORT LINCOLN,135.8597,-34.7226,12/19,15554,593,67.6,246,3826284,5663904,23024,2019,12,2019/12/19
ADELAIDE,138.6001 ,-34.9273 ,SYDNEY,151.2093,-33.8688,12/19,160997,1114,84.6,1167,187883499,222167625,190375,2019,12,2019/12/19
ARMIDALE,151.6661 ,-30.5006 ,SYDNEY,151.2093,-33.8688,12/19,9760,325,69.6,382,3728320,5357932,14026,2019,12,2019/12/19
ALICE SPRINGS,133.8700 ,-23.7000 ,DARWIN,130.8444,-12.4637,12/19,5874,103,59.6,1305,7665570,12864690,9858,2019,12,2019/12/19
ALICE SPRINGS,133.8700 ,-23.7000 ,MELBOURNE,144.9631,-37.8136,12/19,0,0,0,1860,0,0,0,2019,12,2019/12/19
ALICE SPRINGS,133.8700 ,-23.7000 ,SYDNEY,151.2093,-33.8688,12/19,0,0,0,2022,0,0,0,2019,12,2019/12/19
AYERS ROCK,131.0361 ,-25.3450 ,SYDNEY,151.2093,-33.8688,12/19,11134,114,54.9,2181,24283254,44206689,20269,2019,12,2019/12/19
BUNDABERG,152.2400 ,-24.4500 ,BRISBANE,153.026,-27.4705,12/19,12727,291,70.4,287,3652649,5188673,18079,2019,12,2019/12/19
BROOME,122.2304 ,-17.9644 ,PERTH,115.8613,-31.9523,12/19,23000,292,67.2,1677,38571000,57391971,34223,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,CANBERRA,149.13,-35.2809,12/19,56950,558,74.9,956,54444200,72711448,76058,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,CAIRNS,145.771,-16.9203,12/19,110089,884,85.3,1391,153133799,179430654,128994,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,DARWIN,130.8444,-12.4637,12/19,28523,227,76.1,2852,81347596,106853032,37466,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,EMERALD,148.1583,-23.5243,12/19,15796,350,66.7,653,10314788,15457816,23672,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,GLADSTONE,151.2498,-23.8416,12/19,20343,397,67.8,434,8828862,13026076,30014,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,HOBART,147.3257,-42.8826,12/19,25414,171,83.5,1791,45516474,54494757,30427,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,HAMILTON ISLAND,148.9573,-20.3519,12/19,12021,124,75.3,888,10674648,14184912,15974,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,MOUNT ISA,139.493,-20.7264,12/19,11305,131,73.8,1573,17782765,24090495,15315,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,MELBOURNE,144.9631,-37.8136,12/19,314850,2205,85.8,1381,434807850,506878097,367037,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,MACKAY,149.1868,-21.1434,12/19,67545,636,83.1,797,53833365,64784145,81285,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,MORANBAH,148.0398,-22.0061,12/19,0,0,0,780,0,0,0,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,NEWCASTLE,-1.6178,54.9783,12/19,51606,480,77.3,614,31686084,40967308,66722,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,PERTH,115.8613,-31.9523,12/19,88880,530,90.5,3615,321301200,355018305,98207,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,PROSERPINE,148.5832,-20.4018,12/19,23857,166,80.9,895,21352015,26388180,29484,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,ROCKHAMPTON,150.5089,-23.3786,12/19,44718,632,82.4,518,23163924,28099428,54246,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,SYDNEY,151.2093,-33.8688,12/19,408902,2878,86.7,753,307903206,355133625,471625,2019,12,2019/12/19
BRISBANE,153.0260 ,-27.4705 ,TOWNSVILLE,146.8169,-19.259,12/19,87854,729,82.2,1112,97693648,118782728,106819,2019,12,2019/12/19
CANBERRA,149.1300 ,-35.2809 ,MELBOURNE,144.9631,-37.8136,12/19,92002,852,69,470,43240940,62693300,133390,2019,12,2019/12/19
CANBERRA,149.1300 ,-35.2809 ,SYDNEY,151.2093,-33.8688,12/19,68147,1178,76.1,236,16082692,21129552,89532,2019,12,2019/12/19
COFFS HARBOUR,153.1094 ,-30.2986 ,SYDNEY,151.2093,-33.8688,12/19,27940,408,75.2,443,12377420,16460994,37158,2019,12,2019/12/19
CAIRNS,145.7710 ,-16.9203 ,MELBOURNE,144.9631,-37.8136,12/19,68091,413,85.7,2311,157358301,183662103,79473,2019,12,2019/12/19
CAIRNS,145.7710 ,-16.9203 ,SYDNEY,151.2093,-33.8688,12/19,94278,568,86,1971,185821938,216130005,109655,2019,12,2019/12/19
CAIRNS,145.7710 ,-16.9203 ,TOWNSVILLE,146.8169,-19.259,12/19,11536,317,54.8,284,3276224,5977348,21047,2019,12,2019/12/19
DUBBO,148.6144 ,-32.2444 ,SYDNEY,151.2093,-33.8688,12/19,13538,429,67.2,310,4196780,6246810,20151,2019,12,2019/12/19
DARWIN,130.8444 ,-12.4637 ,MELBOURNE,144.9631,-37.8136,12/19,23140,167,78.5,3131,72451340,92314404,29484,2019,12,2019/12/19
DARWIN,130.8444 ,-12.4637 ,PERTH,115.8613,-31.9523,12/19,13715,124,64.5,2651,36358465,56407978,21278,2019,12,2019/12/19
DARWIN,130.8444 ,-12.4637 ,SYDNEY,151.2093,-33.8688,12/19,21926,168,76.1,3155,69176530,90870310,28802,2019,12,2019/12/19
GERALDTON,114.6099 ,-28.7751 ,PERTH,115.8613,-31.9523,12/19,0,0,0,370,0,0,0,2019,12,2019/12/19
HOBART,147.3257 ,-42.8826 ,MELBOURNE,144.9631,-37.8136,12/19,157181,1107,78.2,618,97137858,124291542,201119,2019,12,2019/12/19
HOBART,147.3257 ,-42.8826 ,SYDNEY,151.2093,-33.8688,12/19,74819,569,80.2,1039,77736941,96945973,93307,2019,12,2019/12/19
HAMILTON ISLAND,148.9573 ,-20.3519 ,MELBOURNE,144.9631,-37.8136,12/19,8078,71,66.5,1965,15873270,23870820,12148,2019,12,2019/12/19
HAMILTON ISLAND,148.9573 ,-20.3519 ,SYDNEY,151.2093,-33.8688,12/19,21953,175,77.2,1526,33500278,43402492,28442,2019,12,2019/12/19
KALGOORLIE,121.4660 ,-30.7490 ,PERTH,115.8613,-31.9523,12/19,21255,280,64.3,538,11435190,17770678,33031,2019,12,2019/12/19
KARRATHA,116.8447 ,-20.7337 ,PERTH,115.8613,-31.9523,12/19,37576,475,59.6,1250,46970000,78770000,63016,2019,12,2019/12/19
LAUNCESTON,147.1358 ,-41.4391 ,MELBOURNE,144.9631,-37.8136,12/19,92582,860,77.6,476,44069032,56817264,119364,2019,12,2019/12/19
LAUNCESTON,147.1358 ,-41.4391 ,SYDNEY,151.2093,-33.8688,12/19,32734,215,83.7,914,29918876,35761164,39126,2019,12,2019/12/19
SUNSHINE COAST,153.0667 ,-26.6500 ,MELBOURNE,144.9631,-37.8136,12/19,50997,336,85.2,1454,74149638,87024808,59852,2019,12,2019/12/19
SUNSHINE COAST,153.0667 ,-26.6500 ,SYDNEY,151.2093,-33.8688,12/19,59241,441,84.6,837,49584717,58638546,70058,2019,12,2019/12/19
MELBOURNE,144.9631 ,-37.8136 ,MILDURA,142.1246,-34.208,12/19,18886,371,66.9,457,8630902,12906594,28242,2019,12,2019/12/19
MELBOURNE,144.9631 ,-37.8136 ,NEWCASTLE,-1.6178,54.9783,12/19,40968,262,86,836,34249248,39828712,47642,2019,12,2019/12/19
MELBOURNE,144.9631 ,-37.8136 ,GOLD COAST,153.4,-28.0167,12/19,197819,1188,87.8,1330,263602823,300182542,225277,2019,12,2019/12/19
MELBOURNE,144.9631 ,-37.8136 ,PERTH,115.8613,-31.9523,12/19,197540,1050,90.4,2706,534543240,591512658,218593,2019,12,2019/12/19
MELBOURNE,144.9631 ,-37.8136 ,SYDNEY,151.2093,-33.8688,12/19,756723,4857,87.9,706,536874876,610547704,860602,2019,12,2019/12/19
MELBOURNE,144.9631 ,-37.8136 ,TOWNSVILLE,146.8169,-19.259,12/19,0,0,0,2055,0,0,0,2019,12,2019/12/19
GOLD COAST,153.4000 ,-28.0167 ,SYDNEY,151.2093,-33.8688,12/19,247753,1570,88.1,680,168472040,191136440,281083,2019,12,2019/12/19
PERTH,115.8613 ,-31.9523 ,PORT HEDLAND,118.6095,-20.311,12/19,29642,379,59.9,1312,38890304,64888896,49458,2019,12,2019/12/19
PERTH,115.8613 ,-31.9523 ,SYDNEY,151.2093,-33.8688,12/19,157706,795,89.7,3284,517906504,577258236,175779,2019,12,2019/12/19
PERTH,115.8613 ,-31.9523 ,NEWMAN,119.7368,-23.3571,12/19,27432,332,56.8,1019,27953208,49244194,48326,2019,12,2019/12/19
PROSERPINE,148.5832 ,-20.4018 ,SYDNEY,151.2093,-33.8688,12/19,9407,61,84.6,1517,14270419,16866006,11118,2019,12,2019/12/19
PORT MACQUARIE,152.9000 ,-31.4333 ,SYDNEY,151.2093,-33.8688,12/19,16440,328,77.1,321,5277240,6846930,21330,2019,12,2019/12/19
BALLINA,153.5658 ,-28.8628 ,SYDNEY,151.2093,-33.8688,12/19,41190,292,85.3,612,25208280,29557152,48296,2019,12,2019/12/19
SYDNEY,151.2093 ,-33.8688 ,TAMWORTH,150.932,-31.0927,12/19,13651,346,64.4,320,4368320,6783360,21198,2019,12,2019/12/19
SYDNEY,151.2093 ,-33.8688 ,TOWNSVILLE,146.8169,-19.259,12/19,16486,111,83.6,1690,27861340,33313280,19712,2019,12,2019/12/19
SYDNEY,151.2093 ,-33.8688 ,WAGGA WAGGA,147.3598,-35.1082,12/1,14009,392,69.8,367,5141303,7362387,20061,2019,12,2019/12/1
ALBURY,146.9095 ,-36.0751 ,SYDNEY,151.2093,-33.8688,11/19,20654,525,73.3,452,9335608,12744140,28195,2019,11,2019/11/19
ADELAIDE,138.6001 ,-34.9273 ,ALICE SPRINGS,133.87,-23.7,11/19,11053,118,76.9,1316,14545748,18918816,14376,2019,11,2019/11/19
ADELAIDE,138.6001 ,-34.9273 ,BRISBANE,153.026,-27.4705,11/19,75534,537,81.5,1622,122516148,150271812,92646,2019,11,2019/11/19
ADELAIDE,138.6001 ,-34.9273 ,CANBERRA,149.13,-35.2809,11/19,17851,143,75.5,972,17351172,22980024,23642,2019,11,2019/11/19
ADELAIDE,138.6001 ,-34.9273 ,MELBOURNE,144.9631,-37.8136,11/19,222402,1574,85.8,643,142950316,166676244,259308,2019,11,2019/11/19
ADELAIDE,138.6001 ,-34.9273 ,GOLD COAST,153.4,-28.0167,11/19,16580,108,85.4,1607,26644060,31201512,19416,2019,11,2019/11/19
ADELAIDE,138.6001 ,-34.9273 ,PERTH,115.8613,-31.9523,11/19,57780,455,81.6,2120,122493600,150098120,70801,2019,11,2019/11/19
ADELAIDE,138.6001 ,-34.9273 ,PORT LINCOLN,135.8597,-34.7226,11/19,16088,616,68,246,3957648,5823066,23671,2019,11,2019/11/19
ADELAIDE,138.6001 ,-34.9273 ,SYDNEY,151.2093,-33.8688,11/19,165849,1105,87.7,1167,193545783,220720545,189135,2019,11,2019/11/19
ARMIDALE,151.6661 ,-30.5006 ,SYDNEY,151.2093,-33.8688,11/19,11745,369,76.3,382,4486590,5882800,15400,2019,11,2019/11/19
